Direction Split,Density,Avg Speed,Average Density,2nd Avg Speed
0.6,0.75,2.081230051640848,1.6616691654172895,2.1194733333333335
0.6,0.8,2.1380209895052467,1.819790104947526,2.178915
0.6,0.85,2.050909839198048,1.8546226886556703,2.08892
0.6,0.9,1.9931478705091932,1.9087956021989005,2.02916
0.6,0.95,1.9852126568294808,2.0061469265367298,2.0214989473684213
0.7,0.05,3.0535132433782692,0.16231884057970977,3.1179200000000002
0.7,0.1,2.8742028985507226,0.30574712643678215,2.9348899999999998
0.7,0.15,2.8588305847077176,0.4561719140429779,2.9153466666666668
0.7,0.2,2.7882758620689687,0.5935532233883063,2.85043
0.7,0.25,2.8468005997001624,0.7572713643178396,2.911668
0.7,0.3,2.6525070797934314,0.846926536731634,2.7120966666666666
0.7,0.35,2.6446633825944206,0.9847076461769124,2.7043371428571428
0.7,0.4,2.542371314342831,1.0815592203898066,2.59781
0.7,0.45,2.43118662890777,1.164917541229386,2.4820066666666665
0.7,0.5,2.355598200899548,1.252623688155922,2.4041799999999998
0.7,0.55,2.4847776111944073,1.453273363318344,2.5377199999999998
0.7,0.6,2.2711810761286024,1.4494752623688174,2.31657
0.7,0.65,2.2852204666897307,1.5807096451774103,2.3299415384615387
0.7,0.7,2.222505889912189,1.654522738630683,2.2653857142857143
0.7,0.75,2.159912043978009,1.7240379810094952,2.1998013333333333
0.7,0.8,2.047306346826586,1.7430784607696144,2.08364
0.7,0.85,2.0084898727107015,1.8162418790604693,2.044198823529412
0.7,0.9,1.9508956632794692,1.8679160419790086,1.9840088888888887
0.7,0.95,1.956601699150424,1.9774612693653166,1.9894526315789474
0.8,0.05,2.9359520239880523,0.15622188905547224,3.00062
0.8,0.1,2.9545627186406316,0.31429285357321435,3.0181999999999998
0.8,0.15,2.874835915375712,0.4586206896551679,2.935906666666667
0.8,0.2,2.908480759620179,0.6190904547726148,2.973245
0.8,0.25,2.873839080459789,0.7641679160419802,2.93676
0.8,0.3,2.712580376478424,0.8653173413293349,2.771866666666667
0.8,0.35,2.7349182551581426,1.018340829585207,2.7940771428571427
0.8,0.4,2.7249175412293867,1.1600199900050008,2.7848125
0.8,0.45,2.5538364151257706,1.2222888555722131,2.608148888888889
0.8,0.5,2.554032983508252,1.358420789605196,2.6086660000000004
0.8,0.55,2.378519830993583,1.3917541229385308,2.4259145454545457
0.8,0.6,2.384710977844409,1.5224387806096915,2.433428333333333
0.8,0.65,2.3966908853265667,1.6575212393803087,2.4444184615384614
0.8,0.7,2.2771985435853486,1.695152423788105,2.321328571428572
0.8,0.75,2.149714476095284,1.7144427786106944,2.189421333333333
0.8,0.8,2.149466516741629,1.8291354322838558,2.18862375
0.8,0.85,2.1177046770732235,1.9157921039480288,2.1561317647058824
0.8,0.9,2.1962485423954723,2.102098950524738,2.2383155555555554
0.8,0.95,2.1239643336226646,2.14672663668166,2.162498947368421
0.9,0.05,2.935232383808141,0.15617191404297823,2.99792
0.9,0.1,2.9077961019490104,0.3092453773113453,2.96978
0.9,0.15,2.9350991171081584,0.4682158920539683,2.9965266666666666
0.9,0.2,2.9605947026486734,0.6300349825087458,3.024345
0.9,0.25,2.85098650674664,0.7586206896551727,2.9127199999999998
0.9,0.3,2.9265333999666696,0.9340329835082463,2.9864499999999996
0.9,0.35,2.8083015635039708,1.0458270864567696,2.867397142857143
0.9,0.4,2.6997251374312867,1.148375812093952,2.7563475
0.9,0.45,2.7148225887056516,1.29985007496252,2.7729822222222222
0.9,0.5,2.613929035482256,1.3903048475762099,2.668844
0.9,0.55,2.5706946526736787,1.5046976511744126,2.6242454545454543
0.9,0.6,2.570026653339996,1.6409795102448788,2.623181666666667
0.9,0.65,2.5929758197824193,1.7939030484757639,2.6473307692307695
0.9,0.7,2.4935360890983107,1.8576711644177928,2.5448571428571425
0.9,0.75,2.4741575878727318,1.972763618190909,2.5216480000000003
0.9,0.8,2.448033483258371,2.0820089955022474,2.49731125
0.9,0.85,2.4476726342711017,2.2121439280359865,2.4971870588235294
0.9,0.9,2.4179932256094148,2.315092453773115,2.466448888888889
0.9,0.95,2.281244640837475,2.304247876061967,2.3239042105263157
1.0,0.05,2.97517241379312,0.15827086456771675,3.039
1.0,0.1,2.95536231884055,0.31444277861069575,3.01949
1.0,0.15,2.9421222721972766,0.4693153423288343,3.0058333333333334
1.0,0.2,2.948950524737596,0.627486256871565,3.01011
1.0,0.25,2.8890834582708784,0.7684157921039455,2.95006
1.0,0.3,2.8877527902715183,0.9216891554222911,2.94478
1.0,0.35,2.9074605554365855,1.0830084957521222,2.9695285714285715
1.0,0.4,2.881459270364821,1.2260869565217385,2.9406475
1.0,0.45,2.864416680548627,1.3712143928035991,2.9224
1.0,0.5,2.8399880059970095,1.5114442778610702,2.898744
1.0,0.55,2.864922084412391,1.6759120439780153,2.9257600000000004
1.0,0.6,2.85363151757454,1.8216891554222858,2.9137750000000002
1.0,0.65,2.830962980048437,1.9584707646176902,2.890178461538462
1.0,0.7,2.7967858927679057,2.082358820589709,2.8523457142857143
1.0,0.75,2.8018510744627707,2.2346826586706645,2.8596559999999998
1.0,0.8,2.840572213893057,2.4179910044977486,2.8993925
1.0,0.85,2.864974571537806,2.589605197401301,2.924434117647059
1.0,0.9,2.74856793825309,2.6314342828585686,2.8046333333333333
1.0,0.95,2.78296430732002,2.8123438280859565,2.841245263157895
