pedX,pedY,vehX,vehY,TTC
900,275,624,215,3
900,255,716,215,2
900,235,808,215,1
900,25,352,95,3
900,49,535,95,2
900,73,718,95,1
900,25,636,101,3
900,51,724,101,2
900,77,812,101,1
900,275,494,206,3
900,252,630,206,2
900,229,766,206,1
900,25,490,81,3
900,44,627,81,2
900,63,764,81,1
900,25,327,82,3
900,44,518,82,2
900,63,709,82,1
900,25,424,110,3
900,54,583,110,2
900,83,742,110,1
900,275,565,201,3
900,250,677,201,2
900,225,789,201,1
900,275,321,203,3
900,251,514,203,2
900,227,707,203,1
900,25,489,107,3
900,53,626,107,2
900,81,763,107,1
900,25,664,91,3
900,47,743,91,2
900,69,822,91,1
900,275,492,228,3
900,259,628,228,2
900,243,764,228,1
900,25,547,72,3
900,41,665,72,2
900,57,783,72,1
900,275,605,208,3
900,252,704,208,2
900,229,803,208,1
900,275,482,207,3
900,252,622,207,2
900,229,762,207,1
900,275,631,196,3
900,248,721,196,2
900,221,811,196,1
900,275,505,221,3
900,257,637,221,2
900,239,769,221,1
900,275,389,226,3
900,258,560,226,2
900,241,731,226,1
900,275,604,231,3
900,260,703,231,2
900,245,802,231,1
900,25,605,101,3
900,51,704,101,2
900,77,803,101,1
900,275,335,222,3
900,257,524,222,2
900,239,713,222,1
900,275,365,235,3
900,261,544,235,2
900,247,723,235,1
900,275,458,226,3
900,258,606,226,2
900,241,754,226,1
900,275,580,225,3
900,258,687,225,2
900,241,794,225,1
900,275,563,219,3
900,256,676,219,2
900,237,789,219,1
900,25,595,62,3
900,38,697,62,2
900,51,799,62,1
900,275,460,185,3
900,245,607,185,2
900,215,754,185,1
900,275,456,233,3
900,261,604,233,2
900,247,752,233,1
900,25,464,125,3
900,59,610,125,2
900,93,756,125,1
900,275,645,189,3
900,246,730,189,2
900,217,815,189,1
900,25,609,93,3
900,48,706,93,2
900,71,803,93,1
900,275,232,215,3
900,255,455,215,2
900,235,678,215,1
900,275,385,174,3
900,241,557,174,2
900,207,729,174,1
900,275,564,219,3
900,256,676,219,2
900,237,788,219,1
900,25,172,97,3
900,49,415,97,2
900,73,658,97,1
900,25,413,99,3
900,50,576,99,2
900,75,739,99,1
900,275,414,226,3
900,258,576,226,2
900,241,738,226,1
900,275,525,215,3
900,255,650,215,2
900,235,775,215,1
900,275,597,217,3
900,255,698,217,2
900,235,799,217,1
900,25,678,76,3
900,42,752,76,2
900,59,826,76,1
900,25,342,112,3
900,54,528,112,2
900,83,714,112,1
900,275,634,183,3
900,244,723,183,2
900,213,812,183,1
900,25,498,90,3
900,47,632,90,2
900,69,766,90,1
900,25,661,118,3
900,56,741,118,2
900,87,821,118,1
900,25,411,85,3
900,45,574,85,2
900,65,737,85,1
900,275,436,204,3
900,251,591,204,2
900,227,746,204,1
900,275,577,236,3
900,262,685,236,2
900,249,793,236,1
900,275,566,219,3
900,256,678,219,2
900,237,790,219,1
900,25,614,119,3
900,57,710,119,2
900,89,806,119,1
900,25,422,110,3
900,54,582,110,2
900,83,742,110,1
900,275,589,213,3
900,254,693,213,2
900,233,797,213,1
900,25,591,89,3
900,47,694,89,2
900,69,797,89,1
900,275,419,189,3
900,246,580,189,2
900,217,741,189,1
900,275,547,222,3
900,257,665,222,2
900,239,783,222,1
900,275,430,203,3
900,251,587,203,2
900,227,744,203,1
900,25,150,88,3
900,46,400,88,2
900,67,650,88,1
900,25,507,81,3
900,44,638,81,2
900,63,769,81,1
