pedX,pedY,vehX,vehY,TTC
900,32,545,44,2
900,39,723,44,1
900,25,408,62,3
900,38,572,62,2
900,51,736,62,1
900,275,226,242,3
900,264,451,242,2
900,253,676,242,1
900,275,220,237,3
900,262,447,237,2
900,249,674,237,1
900,275,557,269,3
900,273,672,269,2
900,271,787,269,1
900,25,664,76,3
900,42,743,76,2
900,59,822,76,1
900,275,603,228,3
900,259,702,228,2
900,243,801,228,1
900,275,515,218,3
900,256,644,218,2
900,237,773,218,1
900,25,568,108,3
900,53,679,108,2
900,81,790,108,1
900,25,267,47,3
900,33,478,47,2
900,41,689,47,1
900,275,665,257,3
900,269,744,257,2
900,263,823,257,1
900,275,377,218,3
900,256,552,218,2
900,237,727,218,1
