Direction Split,Density,Average Speed,Average Density
0.7,0.7,2.1387755102040806,0.9877122877122869
0.7,0.75,1.9587505827505816,0.8946053946053946
0.7,0.8,1.96802197802198,1.0070929070929067
0.7,0.85,1.9158535582064986,0.9952047952047959
0.7,0.9,1.8336885336885342,0.9639360639360638
0.7,0.95,1.6153698932646319,0.7599400599400601
0.8,0.05,3.0070329670329596,0.15844155844155763
0.8,0.1,2.810309690309715,0.26323676323676287
0.8,0.15,2.8865534465534677,0.38551448551448536
0.8,0.2,2.8649050949050956,0.49830169830169885
0.8,0.25,2.784767232767242,0.5892107892107894
0.8,0.3,2.6761771561771597,0.6292707292707289
0.8,0.35,2.6480262594548343,0.7397602397602394
0.8,0.4,2.650164835164835,0.8569430569430577
0.8,0.45,2.525456765456762,0.8342657342657344
0.8,0.5,2.367820179820182,0.8306693306693306
0.8,0.55,2.427209154481882,0.9625374625374628
0.8,0.6,2.439790209790211,1.0858141858141852
0.8,0.65,2.2719311457773004,1.0058941058941067
0.8,0.7,2.1693135435992548,1.0336663336663336
0.8,0.75,2.0576809856809826,0.9804195804195812
0.8,0.8,2.0300574425574434,1.0204795204795203
0.8,0.85,2.0442921784098265,1.1102897102897111
0.8,0.9,1.9491885891885887,1.0926073926073927
0.8,0.95,1.833932383406066,1.0105894105894118
0.9,0.05,2.9330669330669656,0.1542457542457527
0.9,0.1,2.900519480519511,0.27052947052947035
0.9,0.15,2.7872127872128063,0.35344655344655385
0.9,0.2,2.80088911088911,0.4829170829170838
0.9,0.25,2.837722277722284,0.6181818181818185
0.9,0.3,2.7714485514485676,0.711188811188813
0.9,0.35,2.725463108320257,0.7811188811188805
0.9,0.4,2.5916633366633386,0.7968031968031977
0.9,0.45,2.4960816960816934,0.8480519480519475
0.9,0.5,2.4968431568431537,0.9114885114885116
0.9,0.55,2.3935446371810016,0.9542457542457538
0.9,0.6,2.4456743256743287,1.0727272727272739
0.9,0.65,2.2620394989625745,0.9963036963036954
0.9,0.7,2.201695447409735,1.0207792207792232
0.9,0.75,2.2067878787878787,1.1133866133866126
